Price,Open,High,Low,Vol.,Change %
637.0,637.9,641.4,635.1,12380.0,-0.14
640.1,637.0,642.2,636.4,12890.0,0.49
637.4,640.1,641.3,634.9,27690.0,-0.43
635.3,637.4,639.3,632.2,24600.0,-0.32
629.1,635.3,637.3,624.1,35290.0,-0.99
628.3,629.1,630.8,625.5,20940.0,-0.11
630.5,628.3,633.3,627.6,28090.0,0.34
655.5,630.5,659.9,629.7,37100.0,3.97
653.0,655.5,661.2,648.8,21910.0,-0.37
650.5,653.0,654.3,645.7,33240.0,-0.39
651.0,650.5,662.5,647.7,36740.0,0.08
674.7,651.0,678.4,651.4,47670.0,3.64
682.3,674.7,687.9,672.3,46560.0,1.13
686.2,682.3,688.4,678.6,38970.0,0.58
715.0,686.2,720.2,685.2,54030.0,4.18
697.3,715.0,714.9,689.5,39330.0,-2.47
698.7,697.3,707.2,682.2,38050.0,0.20
726.8,698.7,734.4,695.2,68070.0,4.02
733.5,726.8,735.8,718.1,39040.0,0.93
684.9,733.5,744.4,670.4,96410.0,-6.63
702.1,684.9,706.6,681.3,48240.0,2.51
702.1,702.1,706.4,694.0,22020.0,0.00
709.9,702.1,714.1,697.6,25810.0,1.11
705.4,709.9,711.7,698.3,30740.0,-0.64
710.9,705.4,714.6,701.0,39730.0,0.78
721.4,710.9,741.2,707.1,70700.0,1.48
714.6,721.4,723.0,707.3,33330.0,-0.95
715.0,714.6,719.8,711.7,25580.0,0.06
704.3,715.0,717.4,701.1,27600.0,-1.50
702.0,704.3,705.6,685.0,36140.0,-0.33
704.6,702.0,708.0,696.1,37750.0,0.37
711.1,704.6,716.9,697.9,41400.0,0.93
740.3,711.1,746.0,708.1,79570.0,4.10
737.5,740.3,751.9,730.1,62770.0,-0.37
747.0,737.5,751.4,731.0,39710.0,1.28
747.9,747.0,755.3,737.4,25630.0,0.12
728.5,747.9,752.3,712.8,47420.0,-2.59
736.2,728.5,744.3,726.5,32509.999999999996,1.05
749.3,736.2,754.0,730.6,44440.0,1.79
741.1,749.3,750.9,731.3,37870.0,-1.10
735.3,741.1,744.2,726.2,37240.0,-0.78
740.4,735.3,741.3,729.0,28850.0,0.69
734.1,740.4,741.0,725.6,22580.0,-0.84
729.4,734.1,738.3,727.1,21350.0,-0.64
733.3,729.4,738.1,727.7,34120.0,0.53
732.6,733.3,737.0,727.8,32570.0,-0.10
742.5,732.6,745.4,730.6,39280.0,1.36
752.6,742.5,755.5,741.1,54030.0,1.37
770.9,752.6,779.0,752.3,63220.0,2.43
764.2,770.9,772.3,755.8,38450.0,-0.87
766.4,764.2,769.2,758.8,19160.0,0.28
754.3,766.4,769.2,746.0,51170.0,-1.57
758.2,754.3,762.5,750.9,33430.0,0.51
765.6,758.2,769.0,754.3,34870.0,0.97
768.5,765.6,773.4,761.2,28780.0,0.38
770.5,768.5,773.5,765.0,24180.0,0.26
774.0,770.5,777.0,769.2,18020.0,0.46
767.9,774.0,774.2,763.0,17140.0,-0.79
778.5,767.9,781.3,767.9,28760.0,1.38
778.7,778.5,790.3,767.8,33110.0,0.03
776.5,778.7,780.8,771.0,24780.0,-0.29
775.2,776.5,780.3,773.1,26220.0,-0.17
782.0,775.2,783.9,773.3,27610.0,0.88
787.2,782.0,791.6,779.4,23580.0,0.65
789.0,787.2,791.3,783.8,14530.0,0.23
789.8,789.0,793.7,786.3,25460.0,0.10
799.1,789.8,800.0,787.1,34480.0,1.18
829.2,799.1,833.1,796.0,65290.00000000001,3.77
860.2,829.2,874.7,828.9,70560.0,3.73
917.2,860.2,920.3,858.0,102220.0,6.63
891.1,917.2,920.5,880.8,46030.0,-2.85
891.1,891.1,895.2,851.4,42480.0,0.00
898.4,891.1,909.3,885.9,38790.0,0.82
925.8,898.4,937.9,893.4,49690.0,3.05
972.2,925.8,974.5,925.5,77290.0,5.01
971.1,972.2,982.6,949.2,61130.0,-0.11
959.0,971.1,971.6,927.4,70840.0,-1.24
963.4,959.0,965.5,942.4,27560.0,0.45
995.4,963.4,1001.6,956.1,41150.0,3.33
1017.0,995.4,1031.7,990.2,64950.0,2.17
1033.3,1017.0,1035.5,1006.5,54790.0,1.60
1135.4,1033.3,1148.5,1022.3,156270.0,9.88
989.3,1135.4,1150.6,874.5,240010.0,-12.86
886.2,989.3,1027.4,852.5,194290.0,-10.43
888.9,886.2,900.9,806.7,130660.0,0.31
900.9,888.9,936.1,875.8,76910.0,1.35
899.8,900.9,910.5,870.9,62580.0,-0.12
904.4,899.8,911.3,890.1,53710.0,0.51
785.4,904.4,917.7,751.6,194440.0,-13.15
810.1,785.4,828.2,739.5,120240.0,3.14
824.8,810.1,835.0,771.0,89860.0,1.82
819.6,824.8,838.9,808.3,44210.0,-0.63
821.2,819.6,826.4,808.6,24400.0,0.19
827.3,821.2,836.7,817.7,33220.0,0.75
899.7,827.3,906.4,825.0,82210.0,8.74
872.0,899.7,913.7,845.9,69260.0,-3.07
895.2,872.0,905.3,870.7,58440.0,2.66
892.9,895.2,901.5,878.9,38870.0,-0.26
919.8,892.9,928.9,889.5,40380.0,3.02
918.8,919.8,938.4,888.6,47930.0,-0.11
921.5,918.8,928.0,910.8,32740.000000000004,0.29
893.8,921.5,925.6,889.2,58870.0,-3.01
894.4,893.8,905.7,883.6,37900.0,0.07
915.6,894.4,919.3,893.5,33800.0,2.36
918.0,915.6,922.6,907.9,30970.0,0.27
918.5,918.0,921.9,912.8,14310.0,0.05
914.5,918.5,922.4,912.7,11050.0,-0.43
920.7,914.5,922.3,911.5,19060.0,0.68
965.5,920.7,967.5,917.4,54670.0,4.86
982.4,965.5,986.6,959.8,45220.0,1.75
1004.0,982.4,1009.1,973.5,50860.0,2.19
1013.0,1004.0,1023.7,989.2,61670.0,0.90
1031.8,1013.0,1041.0,1000.4,39460.0,1.86
1016.1,1031.8,1033.7,1004.0,31060.0,-1.53
1024.7,1016.1,1030.6,1010.8,32020.000000000004,0.84
1049.6,1024.7,1054.1,1019.9,39550.0,2.43
1055.5,1049.6,1069.2,1020.3,65150.00000000001,0.56
979.0,1055.5,1073.0,924.7,146750.0,-7.25
997.6,979.0,1005.6,947.0,62130.0,1.91
1008.3,997.6,1014.3,983.9,28320.0,1.07
996.5,1008.3,1007.8,992.5,14750.0,-1.17
995.4,996.5,1007.6,975.1,32910.0,-0.12
1008.3,995.4,1013.8,986.5,39540.0,1.30
1008.2,1008.3,1010.9,999.7,23360.0,-0.01
1031.9,1008.2,1040.3,1007.4,38080.0,2.35
1049.4,1031.9,1057.4,1025.9,45710.0,1.69
1052.3,1049.4,1063.2,1044.7,25360.0,0.27
1048.9,1052.3,1056.5,1037.7,17950.0,-0.32
1077.6,1048.9,1081.8,1041.0,31010.0,2.73
1119.0,1077.6,1123.0,1073.5,57050.0,3.85
1120.5,1119.0,1132.3,1094.8,47910.0,0.13
1171.9,1120.5,1181.6,1113.5,65740.0,4.59
1176.5,1171.9,1211.7,1092.4,108170.0,0.39
1149.1,1176.5,1180.0,1116.2,45860.0,-2.33
1171.6,1149.1,1177.5,1130.6,30770.0,1.96
1188.8,1171.6,1195.8,1164.3,35470.0,1.47
1189.3,1188.8,1208.2,1175.8,50580.0,0.04
1222.7,1189.3,1225.0,1154.6,51150.0,2.81
1255.5,1222.7,1287.0,1212.0,78490.0,2.68
1283.3,1255.5,1291.3,1250.8,67280.0,2.22
1264.3,1283.3,1285.8,1228.7,38420.0,-1.48
1271.2,1264.3,1273.3,1242.1,25430.0,0.55
1277.0,1271.2,1280.6,1261.0,31030.0,0.46
1232.7,1277.0,1280.9,1148.7,87720.0,-3.47
1147.0,1232.7,1242.0,1136.9,97880.0,-6.95
1191.3,1147.0,1207.0,1129.3,59860.0,3.87
1112.4,1191.3,1330.4,988.7,190470.0,-6.63
1179.2,1112.4,1202.7,1104.8,70750.0,6.01
1225.1,1179.2,1235.5,1160.9,44410.0,3.89
1238.2,1225.1,1245.6,1205.6,60460.0,1.07
1243.1,1238.2,1255.5,1218.4,45140.0,0.40
1253.4,1243.1,1256.9,1236.4,43590.0,0.83
1172.9,1253.4,1260.2,1119.0,132770.0,-6.43
1071.7,1172.9,1174.9,1063.5,163740.0,-8.63
971.4,1071.7,1103.6,940.2,210420.0,-9.36
1022.6,971.4,1063.7,967.3,106450.0,5.27
1047.5,1022.6,1057.5,1005.0,61430.0,2.44
1121.3,1047.5,1125.5,1043.9,92590.0,7.04
1044.7,1121.3,1121.9,997.8,115290.0,-6.83
1035.0,1044.7,1062.8,1022.0,56520.0,-0.93
939.7,1035.0,1038.4,927.3,132600.0,-9.21
966.3,939.7,996.0,890.4,127050.0,2.83
969.4,966.3,1004.3,946.7,85330.0,0.32
1045.1,969.4,1048.8,961.8,91260.0,7.81
1044.4,1045.1,1068.4,1015.5,80000.0,-0.07
1041.9,1044.4,1058.7,1008.3,68850.0,-0.24
1037.9,1041.9,1052.7,1020.9,74990.0,-0.38
1079.1,1037.9,1088.2,1035.2,90990.0,3.97
1086.1,1079.1,1103.7,1067.5,50660.0,0.65
1097.4,1086.1,1109.5,1074.2,70980.0,1.04
1147.6,1097.4,1157.9,1095.6,98500.0,4.57
1141.8,1147.6,1161.2,1122.2,71000.0,-0.50
